(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.106978,0.394032)	 	(-0.106978,-0.394032)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0750362,0.0743243)	 	(0.0750362,-0.0743243)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0542746,-0.0905986)	 	(0.0542746,0.0905986)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.20129,-0.355228)	 	(-0.20129,0.355228)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-0.0737628,0.0726862)	 	(-0.0737628,-0.0726862)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.280081,-3.06003e-16)	 	(-0.280081,3.06003e-16)
(-2.0843e-16,3.73327e-17)	 	(-2.0843e-16,-3.73327e-17)
(9.54692e-17,-6.30706e-17)	 	(9.54692e-17,6.30706e-17)
(-2.63917e-17,-4.03818e-17)	 	(-2.63917e-17,4.03818e-17)
(-0.0709861,-0.264155)	 	(-0.0709861,0.264155)
(-1.09175e-17,8.79299e-17)	 	(-1.09175e-17,-8.79299e-17)
(1.07915e-16,-1.96637e-17)	 	(1.07915e-16,1.96637e-17)
(-1.05357e-16,-3.49145e-17)	 	(-1.05357e-16,3.49145e-17)
(0.366361,-0.201792)	 	(0.366361,0.201792)
(4.62302e-17,8.64884e-18)	 	(4.62302e-17,-8.64884e-18)
(7.8312e-17,7.31117e-18)	 	(7.8312e-17,-7.31117e-18)
(5.81242e-18,8.9334e-18)	 	(5.81242e-18,-8.9334e-18)
(-0.404943,-0.104704)	 	(-0.404943,0.104704)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.00330767,-0.27351)	 	(0.00330767,0.27351)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.271346,-0.0694114)	 	(0.271346,0.0694114)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0894726,0.052137)	 	(0.0894726,-0.052137)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.0250879,0.0924138)	 	(-0.0250879,-0.0924138)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
